"Title","Description","License","Tags","Groups","Visibility","Format","Language","Publisher","Type","[DateAdded, Date Modified]","Theme","Data Status","Update Frequency","Contact email","Expose User Contact Information","Temporal coverage from","Temporal coverage to","Geospatial coverage","Socrata ID","Jurisdiction","Category","Geospatial Topic","Data Models","Field of Research"
"Apprentices And Trainees Approvals in NSW, 2003-2011","Refer to attachment for more information. The number of apprentice approvals and new entrant trainees has grown by 18 per cent since 2003, an increase of 11,239 apprentices and trainees.","CC_30_BY_AUS","['apprentice', 'trainee', 'traineeship', 'apprenticeship']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453181943, 1453181979]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.03","31.12.11","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","938e-u7py","New South Wales","Vocational Education & Training (VET)",,"n/a","1301 Education Systems"
"School-based Apprenticeships And Traineeships In Public Schools, 2003-2011","For more information refer to attachment. School-based traineeships give students the opportunity to attain a nationally recognised vocational qualification as well as their Higher School Certificate (HSC). By taking up a school-based apprenticeship, students gain valuable work experience.","CC_30_BY_AUS","['apprentice', 'trainee', 'work experience', 'vet']","Public","Yes","published","English","NSW Department of Education","Dataset","[1454974744, 1454974744]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.03","31.12.11","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","6sk6-w544","New South Wales","Higher Education",,"n/a","1301 Education Systems"
"Space Management Report, 2015","This Asset Management Space Report is the first in what will be an annual series of reports that sets out the extent and distribution of our school asset base; how well our buildings and grounds are utilised and changes to the asset base that have occurred over the last 10 years across the Principal Team Offices.","CC_30_BY_AUS","['assets', 'space management', 'school grounds']","Public","Yes","published","English","NSW Department of Education","Dataset","[1444786339, 1444866784]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.15","31.12.15","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","tyx5-kgpy","New South Wales","Assets",,"n/a","1303 Education Systems"
"CESE Bulletin 15 - Government school Student Attendance, 2015","This bulletin presents analysis of attendance data at NSW government schools from 2006 to 2015. Results are presented for primary and secondary students. Attendance rates are also presented for aboriginal students, remoteness, and the Family Occupation and Employment Index (FOEI) of schools.","CC_30_BY_AUS","['attendance', 'aboriginal', 'indigenous', 'remote']","Public","Yes","published","English","NSW Department of Education","Dataset","[1456449378, 1456449485]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.15","31.12.15","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","3buk-d7tf","New South Wales","Statistics Bulletins",,"n/a","1314 Education Systems"
"Student Attendance Rates by Aboriginality and Year Level, 2012 - Secondary","The attendance data are for full-time, Year 1-10 students only.","CC_30_BY_AUS","['attendance', 'aboriginal', 'indigenous', 'secondary']","Public","Yes","published","English","NSW Department of Education","Dataset","[1448319657, 1448319657]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","chmh-duzz","New South Wales","Attendance & Retention",,"n/a","1301 Education Systems"
"Student Attendance Rates by Aboriginality and Year Level, 2012 - Primary","The attendance data are for full-time, Year 1-10 students only._x000D_
_x000D_
All students in Years 1 to 10 in NSW Government Schools are regarded as full-time._x000D_
_x000D_
Ungraded students in NSW Government Schools are classified as either primary or secondary according to their level of education._x000D_
_x000D_
For more detailed analysis of Semester 1 school attendance, please refer to CESE Bulletin Issue 3 - Attendance Semester 1, 2012.","CC_30_BY_AUS","['attendance', 'aboriginal', 'year', '2012', 'primary', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1448321447, 1448321447]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","kjsf-c866","New South Wales","Attendance & Retention",,"n/a","1301 Education Systems"
"Student Attendance Rates by Aboriginality and Year Level, 2012 - Primary","The attendance data are for full-time, Year 1-10 students only.

All students in Years 1 to 10 in NSW Government Schools are regarded as full-time.

Ungraded students in NSW Government Schools are classified as either primary or secondary according to their level of education.

For more detailed analysis of Semester 1 school attendance, please refer to CESE Bulletin Issue 3 - Attendance Semester 1, 2012.","CC_30_BY_AUS","['attendance', 'aboriginality', 'year', '2012', 'primary']","Public","Yes","published","English","NSW Department of Education","Dataset","[1448321447, 1438584650]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","3ni9-4zzc","New South Wales","Attendance & Retention",,"n/a","1301 Education Systems"
"Government School Student Attendance 2012 (Semester 1): CESE Bulletin 3","Research indicates a strong link between attendance and student achievement._x000D_
Recording and monitoring student attendance is an important requirement as part of_x000D_
the schools duty of care to all students in the school.","CC_30_BY_AUS","['attendance', 'bulletin', '2012', 'aboriginal', 'indigenous', 'student']","Public","Yes","published","English","NSW Department of Education","Dataset","[1397449611, 1448321769]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","ays3-dgbm","New South Wales","Statistics Bulletins",,"n/a","1311 Education Systems"
"Government School Student Attendance 2013 (Semester 1) : CESE Bulletin 6","Government School Student Attendance 2013 (Semester 1)","CC_30_BY_AUS","['attendance', 'bulletin', '2013', 'government schools', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1399937655, 1448321578]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.13","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","qdad-684k","New South Wales","Statistics Bulletins",,"n/a","1304 Education Systems"
"Schools attendance rates by Aboriginality and year level, 2014","Schools attendance rates by Aboriginality and year level, 2014","CC_30_BY_AUS","['attendance', 'primary', 'secondary', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1448319575, 1448319576]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","d7kt-a2h9","New South Wales","Attendance & Retention",,"n/a","1301 Education Systems"
"NSW Public Schools Income From Licensed Canteens, 2014","Refer to attachment for further information. In 2014, 386 schools chose to license their canteens with a total income of $5.64 million*.","CC_30_BY_AUS","['canteen', 'private', 'license', 'school income', 'school food']","Public","Yes","published","English","NSW Department of Education","Dataset","[1453434674, 1453434674]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","8tnz-viqy","New South Wales","Assets",,"n/a","1301 Education Systems"
"CESE Bulletin 13- Schools: InBrief Mid-Year Census 2014","InBrief summarises the results of the census of students in NSW government schools undertaken on Friday 1 August 2014, and the census of NSW non-government schools undertaken by the Australian Government Department of Education on the same day.","CC_30_BY_AUS","['census', 'government schools', 'non-government schools', '2014', 'preschool', 'primary', 'secondary', 'central/community', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1440375656, 1448321863]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","j9ti-zqt5","New South Wales","Statistics Bulletins",,"n/a","1310 Education Systems"
"Mid Year Census 2012: CESE Bulletin 4","This Bulletin summarises the results of the census of students in NSW government_x000D_
schools on Friday 3 August 2012, and the census of NSW non-government schools_x000D_
undertaken by the Department of Education, Employment and Workplace Relations.","CC_30_BY_AUS","['census', 'statistics', 'deewr', '2012', 'mid-year', 'bulletin', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1397449954, 1448321710]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","tsh6-bm4t","New South Wales","Statistics Bulletins",,"n/a","1308 Education Systems"
"Classes - Average Primary Class Sizes By Year, 1997 And 2002-2014","Average Primary Class Sizes By Year, 1997 And 2002-2014","CC_30_BY_AUS","['class size', 'primary']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443404165, 1443404165]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.97","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","icsx-mgsg","New South Wales","Class Size",,"n/a","1301 Education Systems"
"NSW Government Schools By Classification 2001-2014","The classifications used in the table are not based on the 2014 actual enrolments collected through the mid-year census. The classifications are based on the staffing entitlement classifications reviewed periodically by the Classification Review Committee.","CC_30_BY_AUS","['classification', 'school type', 'enrolments']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443599451, 1443599451]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.01","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","fd74-5hyk","New South Wales","Schools",,"n/a","1301 Education Systems"
"NSW Government Schools on the Country Area Program by Region and school type, midyear 2012","As at midyear 2012_x000D_
_x000D_
NSW Government Schools on the Country Area Program by Region and school type","CC_30_BY_AUS","['country area program', 'region']","Public","Yes","published","English","NSW Department of Education","Dataset","[1396576416, 1400762929]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","qm24-x3n3","New South Wales","Schools",,"n/a","1301 Education Systems"
"Course Enrolments In Year 10 Subjects In NSW Government Schools, 2012","Hours equal to the number of hours studied over Years 9 and 10.","CC_30_BY_AUS","['course', 'enrolments', 'year 10', 'nsw', 'government schools', '2012']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443669706, 1438584743]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","xarx-xrah","New South Wales","Subject & Course Enrolment",,"n/a","1301 Education Systems"
"Course Enrolments In Year 10 Subjects In NSW Government Schools, 2014","Hours equal to the number of hours studied over Years 9 and 10.","CC_30_BY_AUS","['course', 'enrolments', 'year 10', 'nsw', 'government schools', '2014', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443669706, 1448321635]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","u6w3-xvwr","New South Wales","Subject & Course Enrolment",,"n/a","1301 Education Systems"
"Course Enrolments in Year 11 and Year 12 Subjects in NSW Government Schools, 2012 - Apprenticeships","Based on school of tuition, board developed courses only, and includes subjects studied through distance education, the Open High School and Saturday School of Community Languages.","CC_30_BY_AUS","['course', 'enrolments', 'year 11', 'year 12', 'nsw', 'government schools', '2012', 'apprenticeships']","Public","Yes","published","English","NSW Department of Education","Dataset","[1396580875, 1429129022]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","fakc-9sbi","New South Wales","Subject & Course Enrolment",,"n/a","1301 Education Systems"
"Course Enrolments in Year 11 And Year 12 Subjects in NSW Government Schools, 2012","Based on school of tuition, board developed courses only, and includes subjects studied through distance education, the Open High School and Saturday School of Community Languages.","CC_30_BY_AUS","['course', 'enrolments', 'year 11', 'year 12', 'subjects', 'nsw', 'government schools', '2012']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443669927, 1438584658]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.12","31.12.12","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","gi2v-iqkt","New South Wales","Subject & Course Enrolment",,"n/a","1301 Education Systems"
"Course Enrolments in Year 11 And Year 12 Subjects in NSW Government Schools, 2014","Based on school of tuition, board developed courses only, and includes subjects studied through distance education, the Open High School and Saturday School of Community Languages.","CC_30_BY_AUS","['course', 'enrolments', 'year 11', 'year 12', 'subjects', 'nsw', 'government schools', '2014', 'aboriginal', 'indigenous']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443669927, 1448321531]","EDUCATION","Active","As required","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","am7s-q7d7","New South Wales","Subject & Course Enrolment",,"n/a","1301 Education Systems"
"Support Classes And Services, 2013","In 2013 more than 90,000 students with a disability and/or additional learning and support needs are enrolled in NSW public schools. Students with confirmed disability can enrol in regular classes with support, and in support classes in regular_x000D_
and special schools. There are 1,911 learning and support teachers in public schools in NSW.","CC_30_BY_AUS","['disability', 'support', 'additional services']","Public","Yes","published","English","NSW Department of Education","Dataset","[1454975608, 1454975609]","EDUCATION","Inactive","As required","info@cese.nsw.gov.au","No","01.01.13","31.12.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","vhvk-wer5","New South Wales","Schools",,"n/a","1301 Education Systems"
"Enrolments (FTE) In Distance Education By Year Of Schooling, 2014","Enrolments (FTE) in distance education by year of schooling, mid-year 2014","CC_30_BY_AUS","['enrolment', 'distance education', 'students', '2014']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443667581, 1443667581]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","9bt9-haua","New South Wales","Students",,"n/a","1301 Education Systems"
"Enrolments (FTE) In NSW Government Schools By FOEI Quarters And SA4 Groupings, 2014","Enrolments (FTE) in NSW government schools by FOEI quarters and SA4 groupings, April 2014","CC_30_BY_AUS","['enrolment', 'fte', 'foei', 'sa4', '2014']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443668535, 1443668535]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","px27-kj8q","New South Wales","Students",,"n/a","1301 Education Systems"
"Enrolment Of Students Of LBOTE In NSW Government Schools, 2014 ( SA4 And Grade)","Enrolment of students of language background other than English (LBOTE) in NSW government schools, March 2014 by SA4 groupings and grade groups","CC_30_BY_AUS","['enrolment', 'students', 'lbote', 'sa4', 'grade']","Public","Yes","published","English","NSW Department of Education","Dataset","[1443668419, 1443668419]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","3i53-x77y","New South Wales","Students",,"n/a","1301 Education Systems"
"Enrolments (FTE) In NSW Government Schools - 1970, 1980, 1990, 1993-2014","Enrolments (FTE) In NSW Government Schools - 1970, 1980, 1990, 1993-2014._x000D_
_x000D_
Since 1993 some students have enrolled part-time and all enrolments are reported in full-time equivalent units (FTEs) and include full-time and part-time students.","CC_30_BY_AUS","['enrolments', 'fte']","Public","Yes","published","English","NSW Department of Education","Dataset","[1459753145, 1459753145]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","qsmd-gpg3","New South Wales","Students",,"n/a","1301 Education Systems"
"Enrolments (head count) School Level 2004 to 2013","National Schools Statistics Collection (NSSC) enrolments collected as at the first Friday in August every year._x000D_
All NSSC enrolments are headcount figures._x000D_
Where a school had 5 or fewer students, the figure has been suppressed._x000D_
A blank figure indicates no enrolments were collected for NSSC in the given calendar year.","CC_30_BY_AUS","['enrolments', 'head count']","Public","Yes","published","English","NSW Department of Education","Dataset","[1413325888, 1413326031]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.04","31.13.13","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","wqm6-3zjf","New South Wales","Schools",,"n/a","1301 Education Systems"
"NSW Government School Enrolments By Scholastic Year 2014","Source: Statistics Unit, Centre for Education Statistics and Evaluation, DEC. Extracted in June 2015. Mid-Year Census 2014.								
								
Notes:								
1) Enrolments are full-time equivalent (FTE) enrolments. For the purposes of State reporting, only students in Year 11 and 12 may be part-time. Hence there is no difference between ""full-time"" and ""full-time equivalent"" enrolments for K-10 or ungraded in NSW government schools.								
2) Ungraded students are students who are not assigned to a particular grade.  They are often enrolled in support classes or schools for specific purposes (SSPs)								
3) Total enrolments are provided for Schools for Specific Purposes.  All these students are classified as ungraded students.								
4) sp: data suppressed where enrolments are 5 or fewer. Where only one grade at a school had a value of <=5, the ungraded cell has also been suppressed for privacy reasons. Where there are no ungraded students, the grade with the next lowest total has also suppressed.","CC_30_BY_AUS","['enrolments', 'scholastic year']","Public","Yes","published","English","NSW Department of Education","Dataset","[1442982325, 1442982326]","EDUCATION","Active","Annual","info@cese.nsw.gov.au","No","01.01.14","31.12.14","{'type': 'Polygon', 'coordinates': [[[140.999279036, -37.5050765707], [159.105430341, -37.5050765707], [159.105430341, -28.1570205549], [140.999279036, -28.1570205549], [140.999279036, -37.5050765707]]]}","yfwy-xj5h","New South Wales","Schools",,"n/a","1301 Education Systems"
